qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	stitle	staxid	lineage	species
ICM0076_COSAG.1_Chlorodendrophyceae	gi|3045509848|gb|PX136615.1|	99.705	1696	4	1	46	1741	1	1695	0	3103	Tetraselmis convolutae isolate C24R46 small subunit ribosomal RNA gene, partial sequence	34154	cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Chlorodendrophyceae;Chlorodendrales;Chlorodendraceae;Tetraselmis;Tetraselmis convolutae	Tetraselmis convolutae
ICM0077_COSAG.1_Mamiellophyceae	gi|257042797|gb|GQ426331.1|	99.187	1721	12	2	46	1765	1	1720	0	3099	Ostreococcus tauri strain BCC1000 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence	70448	cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus;Ostreococcus tauri	Ostreococcus tauri
ICM0078_COSAG.1_Prymnesiophyceae	gi|361050182|emb|AM491013.2|	96.038	1767	58	11	1	1763	2	1760	0	2867	Haptolina fragaria partial 18S rRNA gene, strain UIO029 (=S19)	93931	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Prymnesiaceae;Haptolina;Haptolina fragaria	Haptolina fragaria
ICM0079_COSAG.1_Chrysophyceae	gi|2757670956|gb|PQ008749.1|	92.38	1798	109	26	1	1780	19	1806	0	2536	Mallomonas doignonii strain CZ08K small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence	3233714	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Synurophyceae;Synurales;Mallomonadaceae;Mallomonas;Mallomonas doignonii	Mallomonas doignonii
ICM0081_SAG.1_MAST-12	gi|927412|emb|X80344.1|	88.184	1828	175	31	1	1807	3	1810	0	2141	H.catenoides gene for 18S ribosomal RNA	42384	cellular organisms;Eukaryota;Sar;Stramenopiles;Hyphochytriomycetes;Hyphochytriales;Hyphochytriaceae;Hyphochytrium;Hyphochytrium catenoides	Hyphochytrium catenoides
ICM0082_COSAG.1_Prymnesiophyceae	gi|1594462288|dbj|AB180202.3|	97.432	1791	40	6	1	1788	2	1789	0	3048	Chrysochromulina andersonii genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, complete and partial sequence	2555874	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina andersonii	Chrysochromulina andersonii
ICM0083_SAG.1_Prymnesiophyceae	gi|7799021|emb|AJ246271.1|	99.72	1788	5	0	1	1788	2	1789	0	3278	Prymnesium kappa 18S rRNA gene, strain UIO033 (=EN3)	97486	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Prymnesiaceae;Prymnesium;Prymnesium kappa	Prymnesium kappa
ICM0084_SAG.1_Prymnesiophyceae	gi|361050182|emb|AM491013.2|	95.473	1767	68	12	1	1762	21	1780	0	2811	Haptolina fragaria partial 18S rRNA gene, strain UIO029 (=S19)	93931	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Prymnesiaceae;Haptolina;Haptolina fragaria	Haptolina fragaria
ICM0085_SAG.1_Chrysophyceae	gi|359385350|emb|FR865768.1|	96.838	1771	51	5	24	1792	1	1768	0	2955	Ochromonas villosa genomic DNA containing 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, culture collection CCAP 933/25	1034829	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Chrysophyceae;Chromulinales;Chromulinaceae;Ochromonas;Ochromonas villosa	Ochromonas villosa
ICM0086_SAG.1_Chrysophyceae	gi|2757670956|gb|PQ008749.1|	90.683	1771	133	30	1	1751	31	1789	0	2327	Mallomonas doignonii strain CZ08K small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence	3233714	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Synurophyceae;Synurales;Mallomonadaceae;Mallomonas;Mallomonas doignonii	Mallomonas doignonii
ICM0087_SAG.1_Diatomea	gi|1170995461|gb|KY852257.1|	99.944	1770	1	0	1	1770	1	1770	0	3264	Chaetoceros tenuissimus strain newCA3 small subunit ribosomal RNA gene, partial sequence	426638	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Coscinodiscophyceae;Chaetocerotophycidae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros tenuissimus	Chaetoceros tenuissimus
ICM0088_SAG.1_Mamiellophyceae	gi|290770757|emb|FN562449.1|	97.065	1772	50	2	1	1771	1	1771	0	2985	Dolichomastix tenuilepis 18S rRNA gene (partial), ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene (partial), strain M1680	195969	cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Mamiellophyceae;Dolichomastigales;Dolichomastigaceae;Dolichomastix;Dolichomastix tenuilepis	Dolichomastix tenuilepis
ICM0089_SAG.1_Prymnesiophyceae	gi|2258087995|gb|ON815372.1|	98.347	363	5	1	1	362	1385	1747	2.9399999999999996e-177	636	Chrysochromulina leadbeateri strain UIO-393 small subunit ribosomal RNA gene, partial sequence	412156	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina leadbeateri	Chrysochromulina leadbeateri
ICM0090_SAG.1_Mamiellophyceae	gi|45124833|emb|AJ629844.1|	96.997	1199	32	4	1	1197	543	1739	0	2012	Crustomastix stigmatica partial 18S rRNA gene, strain pras1	195967	cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Mamiellophyceae;Dolichomastigales;Crustomastigaceae;Crustomastix;Crustomastix stigmatica	Crustomastix stigmatica
ICM0091_COSAG.1_Bolidophyceae	gi|4633658|gb|AF123596.1|	99.496	1785	5	4	1	1784	2	1783	0	3243	Bolidomonas mediterranea 18S ribosomal RNA gene, partial sequence	91991	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bolidophyceae;Parmales;Triparmaceae;Triparma;Triparma mediterranea	Triparma mediterranea
ICM0092_COSAG.1_Chrysophyceae	gi|2757670952|gb|PQ008747.1|	93.2	1794	100	21	1	1779	19	1805	0	2617	Mallomonas annulata strain CZ34K small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence	52548	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Synurophyceae;Synurales;Mallomonadaceae;Mallomonas;Mallomonas annulata	Mallomonas annulata
ICM0094_SAG.1_Centroplasthelida	gi|2970665836|gb|PV607521.1|	95.604	455	16	3	2	452	1	455	0	726	Quendis foliacea strain 0017 small subunit ribosomal RNA gene, partial sequence	3420834	cellular organisms;Eukaryota;Haptista;Centroplasthelida;Pterocystida;unclassified Pterocystida;Pterocystida gen. n. sp. f AB-2025	Pterocystida gen. n. sp. f AB-2025
ICM0095_COSAG.1_Centroplasthelida	gi|2415469388|gb|OQ075977.1|	97.903	1717	32	4	28	1742	1	1715	0	2968	Meringosphaera mediterranea isolate S3 small subunit ribosomal RNA gene, partial sequence	2837474	cellular organisms;Eukaryota;Haptista;Centroplasthelida;Meringosphaera;Meringosphaera mediterranea	Meringosphaera mediterranea
ICM0096_SAG.1_Mamiellophyceae	gi|2743737502|emb|OZ076168.1|	100	724	0	0	1	724	42370	41647	0	1338	Bathycoccus prasinos strain RCC5417 genome assembly, chromosome: 11	41875	cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos	Bathycoccus prasinos
ICM0097_SAG.1_Diatomea	gi|343456198|gb|JF790991.1|	99.158	1781	11	4	1	1781	1	1777	0	3203	Chaetoceros muellerii clone 1133 18S ribosomal RNA gene, partial sequence	265525	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Coscinodiscophyceae;Chaetocerotophycidae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros muelleri	Chaetoceros muelleri
ICM0098_SAG.1_Chrysophyceae	gi|219903753|emb|FM955256.1|	93.178	601	38	3	1	599	1157	1756	0	880	Hydrurus foetidus partial 18S rRNA gene	2996	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Chrysophyceae;Hydrurales;Hydruraceae;Hydrurus;Hydrurus foetidus	Hydrurus foetidus
ICM0099_SAG.1_Prymnesiophyceae	gi|7799024|emb|AJ246278.1|	97.204	1788	40	9	1	1782	2	1785	0	3016	Chrysochromulina acantha 18S rRNA gene, strain UIO024 (=T20)	97489	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina acantha	Chrysochromulina acantha
ICM0100_SAG.1_Prymnesiophyceae	gi|7799037|emb|AJ246274.1|	98.544	1786	24	2	1	1786	3	1786	0	3153	Chrysochromulina scutellum 18S rRNA gene, strain UIO46 (=G7)	97487	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina scutellum	Chrysochromulina scutellum
ICM0101_COSAG.1_Prymnesiophyceae	gi|303431906|emb|AM491021.2|	98.152	1786	32	1	1	1785	2	1787	0	3114	Chrysochromulina simplex partial 18S rRNA gene, strain UIO047 (=JomfB)	412158	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina simplex	Chrysochromulina simplex
ICM0102_SAG.1_Prymnesiophyceae	gi|313209110|emb|FN599059.1|	99.179	731	6	0	1	731	312	1042	0	1317	Chrysochromulina acantha partial 18S rRNA gene, strain HAP78	97489	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina acantha	Chrysochromulina acantha
ICM0104_SAG.1_Prymnesiophyceae	gi|7248630|gb|AF163148.1|AF163148	97.999	1799	33	3	1	1798	2	1798	0	3120	Phaeocystis jahnii small subunit ribosomal RNA gene, complete sequence	118080	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis jahnii	Phaeocystis jahnii
ICM0106_COSAG.1_Prymnesiophyceae	gi|1954660099|gb|MW451615.1|	99.398	332	2	0	1	332	466	797	2.7099999999999996e-167	603	Chrysochromulina simplex clone Csim_11 small subunit ribosomal RNA gene, partial sequence	412158	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina simplex	Chrysochromulina simplex
ICM0107_COSAG.1_Prymnesiophyceae	gi|7799024|emb|AJ246278.1|	98.351	1759	25	4	1	1759	21	1775	0	3085	Chrysochromulina acantha 18S rRNA gene, strain UIO024 (=T20)	97489	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina acantha	Chrysochromulina acantha
ICM0108_SAG.1_Prymnesiophyceae	gi|1594462288|dbj|AB180202.3|	98.871	620	3	2	1	616	1164	1783	0	1103	Chrysochromulina andersonii genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, complete and partial sequence	2555874	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina andersonii	Chrysochromulina andersonii
ICM0109_SAG.1_Prymnesiophyceae	gi|196460253|emb|AM779755.1|	99.167	1800	15	0	1	1800	2	1801	0	3241	Prymnesium palpebrale 18S rRNA gene, strain UIO 133	462884	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Prymnesiaceae;Prymnesium;Prymnesium palpebrale	Prymnesium palpebrale
ICM0110_SAG.1_Prymnesiophyceae	gi|7799023|emb|AJ246273.1|	98.665	1798	17	5	1	1792	2	1798	0	3181	Chrysochromulina campanulifera 18S rRNA gene, strain J10	98217	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina campanulifera	Chrysochromulina campanulifera
ICM0111_SAG.1_Prymnesiophyceae	gi|1954660099|gb|MW451615.1|	98.684	304	4	0	1	304	548	851	1.9499999999999996e-148	540	Chrysochromulina simplex clone Csim_11 small subunit ribosomal RNA gene, partial sequence	412158	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina simplex	Chrysochromulina simplex
ICM0113_SAG.1_Prymnesiophyceae	gi|2258087995|gb|ON815372.1|	97.606	376	8	1	1	375	1372	1747	1.84e-179	643	Chrysochromulina leadbeateri strain UIO-393 small subunit ribosomal RNA gene, partial sequence	412156	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina leadbeateri	Chrysochromulina leadbeateri
ICM0114_SAG.1_Prymnesiophyceae	gi|7248630|gb|AF163148.1|AF163148	96.835	1801	48	9	1	1797	2	1797	0	3001	Phaeocystis jahnii small subunit ribosomal RNA gene, complete sequence	118080	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis jahnii	Phaeocystis jahnii
ICM0115_COSAG.1_Prymnesiophyceae	gi|1594462288|dbj|AB180202.3|	97.098	1792	45	6	1	1788	1	1789	0	3014	Chrysochromulina andersonii genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, complete and partial sequence	2555874	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina andersonii	Chrysochromulina andersonii
ICM0116_SAG.1_Prymnesiophyceae	gi|7799037|emb|AJ246274.1|	99.357	311	2	0	1	311	964	1274	1.19e-155	564	Chrysochromulina scutellum 18S rRNA gene, strain UIO46 (=G7)	97487	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina scutellum	Chrysochromulina scutellum
ICM0117_SAG.1_Prymnesiophyceae	gi|7799023|emb|AJ246273.1|	98.601	786	9	2	1	785	1014	1798	0	1389	Chrysochromulina campanulifera 18S rRNA gene, strain J10	98217	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina campanulifera	Chrysochromulina campanulifera
ICM0118_SAG.1_Prymnesiophyceae	gi|7799024|emb|AJ246278.1|	98.368	1777	25	4	1	1777	3	1775	0	3118	Chrysochromulina acantha 18S rRNA gene, strain UIO024 (=T20)	97489	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina acantha	Chrysochromulina acantha
ICM0119_SAG.1_Dinoflagellata	gi|343456240|gb|JF791033.1|	97.832	369	5	1	1	369	1412	1777	1.0799999999999997e-176	634	Lepidodinium viride clone 3929 18S ribosomal RNA gene, partial sequence	66471	cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Lepidodinium;Lepidodinium viride	Lepidodinium viride
ICM0120_COSAG.1_Prymnesiophyceae	gi|303431906|emb|AM491021.2|	98.061	619	12	0	1	619	1169	1787	0	1077	Chrysochromulina simplex partial 18S rRNA gene, strain UIO047 (=JomfB)	412158	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina simplex	Chrysochromulina simplex
ICM0121_SAG.1_Prymnesiophyceae	gi|7799037|emb|AJ246274.1|	97.672	1761	35	6	1	1759	21	1777	0	3020	Chrysochromulina scutellum 18S rRNA gene, strain UIO46 (=G7)	97487	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina scutellum	Chrysochromulina scutellum
ICM0122_COSAG.1_Prymnesiophyceae	gi|303431906|emb|AM491021.2|	99.832	1786	3	0	2	1787	2	1787	0	3282	Chrysochromulina simplex partial 18S rRNA gene, strain UIO047 (=JomfB)	412158	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina simplex	Chrysochromulina simplex
ICM0123_SAG.1_Prymnesiophyceae	gi|7799037|emb|AJ246274.1|	97.65	1787	39	3	1	1786	2	1786	0	3064	Chrysochromulina scutellum 18S rRNA gene, strain UIO46 (=G7)	97487	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina scutellum	Chrysochromulina scutellum
ICM0124_SAG.1_Prymnesiophyceae	gi|303431906|emb|AM491021.2|	99.384	1786	11	0	1	1786	2	1787	0	3238	Chrysochromulina simplex partial 18S rRNA gene, strain UIO047 (=JomfB)	412158	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina simplex	Chrysochromulina simplex
ICM0125_SAG.1_Prymnesiophyceae	gi|7799024|emb|AJ246278.1|	99.159	1784	14	1	1	1783	2	1785	0	3210	Chrysochromulina acantha 18S rRNA gene, strain UIO024 (=T20)	97489	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina acantha	Chrysochromulina acantha
ICM0126_SAG.1_Prymnesiophyceae	gi|1594462288|dbj|AB180202.3|	99.218	1790	13	1	1	1790	1	1789	0	3227	Chrysochromulina andersonii genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, complete and partial sequence	2555874	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina andersonii	Chrysochromulina andersonii
ICM0127_SAG.1_Prymnesiophyceae	gi|303431906|emb|AM491021.2|	99.888	1786	2	0	1	1786	2	1787	0	3288	Chrysochromulina simplex partial 18S rRNA gene, strain UIO047 (=JomfB)	412158	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina simplex	Chrysochromulina simplex
ICM0128_SAG.1_Prymnesiophyceae	gi|166408045|emb|AM491018.1|	98.347	847	13	1	1	846	2	848	0	1485	Chrysochromulina cymbium partial 18S rRNA gene, strain UIO R18	412154	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina cymbium	Chrysochromulina cymbium
ICM0129_SAG.1_Prymnesiophyceae	gi|7799037|emb|AJ246274.1|	97.669	1759	37	4	1	1757	21	1777	0	3018	Chrysochromulina scutellum 18S rRNA gene, strain UIO46 (=G7)	97487	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina scutellum	Chrysochromulina scutellum
ICM0130_SAG.1_Prymnesiophyceae	gi|7799037|emb|AJ246274.1|	97.385	1759	44	2	1	1759	21	1777	0	2992	Chrysochromulina scutellum 18S rRNA gene, strain UIO46 (=G7)	97487	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina scutellum	Chrysochromulina scutellum
ICM0131_SAG.1_Prymnesiophyceae	gi|1594462288|dbj|AB180202.3|	98.056	1389	23	4	1	1388	388	1773	0	2412	Chrysochromulina andersonii genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, complete and partial sequence	2555874	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina andersonii	Chrysochromulina andersonii
ICM0133_SAG.1_Kinetoplastea	gi|77994641|gb|DQ207579.1|	88.039	1739	154	45	1	1725	16	1714	0	2010	Neobodo designis strain HFCC9 18S ribosomal RNA gene, partial sequence	312471	cellular organisms;Eukaryota;Discoba;Euglenozoa;Kinetoplastea;Metakinetoplastina;Neobodonida;Neobodo;Neobodo designis	Neobodo designis
ICM0134_COSAG.1_MAST-7	gi|1253992822|dbj|LC257669.1|	89.937	1272	94	30	1	1249	511	1771	0	1609	Pseudophyllomitus vesiculosus gene for 18S ribosomal RNA, partial sequence, strain: SRT537	1978334	cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Pseudophyllomitidae;Pseudophyllomitus;Pseudophyllomitus vesiculosus	Pseudophyllomitus vesiculosus
ICM0135_SAG.1_Cercozoa	gi|13160648|gb|AF290540.1|AF290540	98.679	1817	24	0	1	1817	2	1818	0	3225	Cryothecomonas longipes small subunit ribosomal RNA gene, complete sequence	151027	cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Thecofilosea;Cryomonadida;Protaspidae;Cryothecomonas;Cryothecomonas longipes	Cryothecomonas longipes
ICM0136_SAG.1_MAST-3	gi|304423175|gb|HM163291.1|	95.136	1254	49	10	13	1258	424	1673	0	1973	Solenicola setigera isolate FG712 18S ribosomal RNA gene, partial sequence	877583	cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Opalozoa;Nanomonadea;Solenicola;Solenicola setigera	Solenicola setigera
ICM0137_SAG.1_Tunicaraptor	gi|1855020269|gb|MT611055.1|	98.094	1784	34	0	1	1784	4	1787	0	3107	Tunicaraptor unikontum isolate Opistho-3 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence	2744139	cellular organisms;Eukaryota;Opisthokonta;Opisthokonta incertae sedis;Tunicaraptor;Tunicaraptor unikontum	Tunicaraptor unikontum
ICM0138_SAG.1_MAST-9	gi|2499023741|gb|OQ909086.1|	89.37	1731	140	36	32	1727	1	1722	0	2139	Vomastramonas tehuelche strain Colp-33 small subunit ribosomal RNA gene, partial sequence	3043346	cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Bigyra incertae sedis;Vomastramonas;Vomastramonas tehuelche	Vomastramonas tehuelche
ICM0139_SAG.1_Chlorarachnea	gi|424124|gb|U03477.1|CRU03477	99.157	1779	11	3	1	1778	2	1777	0	3199	Chlorarachnion reptans CCMP 238 clones pF55 and pF56 18S rRNA small subunit	29199	cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Chlorarachniophyceae;Chlorarachnion;Chlorarachnion reptans	Chlorarachnion reptans
ICM0140_COSAG.1_Chlorodendrophyceae	gi|371782098|emb|HE610130.1|	97.427	1749	43	2	20	1768	1	1747	0	2979	Tetraselmis cordiformis 18S rRNA gene (partial), 5.8S rRNA gene, 28S rRNA gene (partial), ITS1 and ITS2, strain SAG 26.82	426497	cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Chlorodendrophyceae;Chlorodendrales;Chlorodendraceae;Tetraselmis;Tetraselmis cordiformis	Tetraselmis cordiformis
ICM0141_SAG.1_Diatomea	gi|2839792218|gb|PQ512816.1|	100	692	0	0	1	692	1098	1789	0	1279	Pseudo-nitzschia brasiliana isolate CNS01029 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence	195935	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyceae;Bacillariophycidae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia brasiliana	Pseudo-nitzschia brasiliana
ICM0142_SAG.1_Prymnesiophyceae	gi|7799037|emb|AJ246274.1|	97.331	1761	42	5	1	1760	21	1777	0	2987	Chrysochromulina scutellum 18S rRNA gene, strain UIO46 (=G7)	97487	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina scutellum	Chrysochromulina scutellum
ICM0143_SAG.1_Choanoflagellata	gi|157780187|gb|EU011923.1|	96.106	1053	38	3	128	1179	816	1866	0	1714	Didymoeca costata 18S ribosomal RNA gene, partial sequence	459534	cellular organisms;Eukaryota;Opisthokonta;Choanoflagellata;Acanthoecida;Stephanoecidae;Didymoeca;Didymoeca costata	Didymoeca costata
ICM0144_SAG.1_MAST-3	gi|2071185244|gb|MZ613177.1|	91.161	1765	122	26	4	1755	1	1744	0	2364	Incisomonas marina isolate 6125 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence	1167876	cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Opalozoa;Nanomonadea;Incisomonas;Incisomonas marina	Incisomonas marina
ICM0145_SAG.1_Choanoflagellata	gi|948564302|gb|KT757415.1|	95.961	1114	38	6	1	1111	637	1746	0	1801	Acanthoeca spectabilis 18S small subunit ribosomal RNA gene, partial sequence	81533	cellular organisms;Eukaryota;Opisthokonta;Choanoflagellata;Acanthoecida;Acanthoecidae;Acanthoeca;Acanthoeca spectabilis	Acanthoeca spectabilis
ICM0146_SAG.1_Ciliophora	gi|1027316082|gb|KU525755.1|	97.244	1125	31	0	1	1125	369	1493	0	1906	Spirotontonia grandis isolate SW2013110802 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence	641227	cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Spirotrichea;Oligotrichia;Tontoniidae;Spirotontonia;Spirotontonia grandis	Spirotontonia grandis
ICM0147_SAG.1_Picozoa	gi|477693060|gb|JX988758.1|	96.11	1131	39	5	1	1129	670	1797	0	1840	Picomonas judraskeda 18S ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, internal transcribed spacer 2, and 28S ribosomal RNA gene, complete sequence	1315715	cellular organisms;Eukaryota;Eukaryota incertae sedis;Picozoa;Picomonadea;Picomonadida;Picomonadidae;Picomonas;Picomonas judraskeda	Picomonas judraskeda
